date,recession_prob,reprise_prob,boom_prob,ralentissement_prob,cycle_phase,markov_prob,kalman_prob,blended_prob
1972-07-31,0.0010824266712009,2.5459771299653526e-06,0.0068777546187401,0.992037272732929,ralentissement_prob,0.4971010630376654,0.6913703332605333,0.9184896987433286
1972-08-31,0.0010824266712009,2.5459771299653526e-06,0.0068777546187401,0.992037272732929,ralentissement_prob,0.4971010630376654,0.721293451057491,0.9453337595283806
1972-09-30,0.0120197789400656,4.136332378881383e-05,0.000911137509853,0.9870277202262924,ralentissement_prob,0.5055336390532119,0.7439497729932428,0.9769917286433092
1972-10-31,0.0120197789400656,4.136332378881383e-05,0.000911137509853,0.9870277202262924,ralentissement_prob,0.5055336390532119,0.7840267056935054,1.0
1972-11-30,0.0120197789400656,4.136332378881383e-05,0.000911137509853,0.9870277202262924,ralentissement_prob,0.5055336390532119,0.8163177263916286,1.0
1972-12-31,0.0036071505281355,1.8886431910287715e-05,0.0021735620440653,0.9942004009958888,ralentissement_prob,0.50070735102608,0.8395114285930775,1.0
1973-01-31,0.0036071505281355,1.8886431910287715e-05,0.0021735620440653,0.9942004009958888,ralentissement_prob,0.50070735102608,0.862231203318997,1.0
1973-02-28,0.0036071505281355,1.8886431910287715e-05,0.0021735620440653,0.9942004009958888,ralentissement_prob,0.50070735102608,0.8700336390998532,1.0
1973-03-31,0.0040032373221025,1.7437606191565883e-05,0.0013358602123326,0.9946434648593732,ralentissement_prob,0.5013249697517892,0.8710672186904951,1.0
1973-04-30,0.0040032373221025,1.7437606191565883e-05,0.0013358602123326,0.9946434648593732,ralentissement_prob,0.5013249697517892,0.8615505404750763,1.0
1973-05-31,0.0040032373221025,1.7437606191565883e-05,0.0013358602123326,0.9946434648593732,ralentissement_prob,0.5013249697517892,0.8451567914219592,1.0
1973-06-30,0.2184099672218084,0.0068975246620497,6.505493728910171e-05,0.7746274531788527,ralentissement_prob,0.6057236938112348,0.8354351692954153,1.0
1973-07-31,0.2184099672218084,0.0068975246620497,6.505493728910171e-05,0.7746274531788527,ralentissement_prob,0.6057236938112348,0.7877830366511988,1.0
1973-08-31,0.2184099672218084,0.0068975246620497,6.505493728910171e-05,0.7746274531788527,ralentissement_prob,0.6057236938112348,0.7850018414635254,1.0
1973-09-30,0.8953217739635173,0.0023541811465006,0.0022726147463138,0.1000514301436682,recession_prob,0.9453474890353514,0.7790171535391456,1.0
1973-10-31,0.8953217739635173,0.0023541811465006,0.0022726147463138,0.1000514301436682,recession_prob,0.9453474890353514,0.7989490665599668,1.0
1973-11-30,0.8953217739635173,0.0023541811465006,0.0022726147463138,0.1000514301436682,recession_prob,0.9453474890353514,0.8167649086227265,1.0
1973-12-31,0.8731623380823974,0.013619151162846,0.0007127971791849,0.1125057135755715,recession_prob,0.9294151948701832,0.79670232132348,1.0
1974-01-31,0.8731623380823974,0.013619151162846,0.0007127971791849,0.1125057135755715,recession_prob,0.9294151948701832,0.7739147979822592,1.0
1974-02-28,0.8731623380823974,0.013619151162846,0.0007127971791849,0.1125057135755715,recession_prob,0.9294151948701832,0.743501118003217,1.0
1974-03-31,0.9941226384476128,0.0002025223062315,0.0024271563636888,0.0032476828824668,recession_prob,0.995746479888846,0.7275913614413628,1.0
1974-04-30,0.9941226384476128,0.0002025223062315,0.0024271563636888,0.0032476828824668,recession_prob,0.995746479888846,0.7139617295853313,1.0
1974-05-31,0.9941226384476128,0.0002025223062315,0.0024271563636888,0.0032476828824668,recession_prob,0.995746479888846,0.6855928344009078,1.0
1974-06-30,0.984973595703776,0.0037140450694636,0.0004988122219324,0.0108135470048279,recession_prob,0.99038036920619,0.64434936729123,1.0
1974-07-31,0.984973595703776,0.0037140450694636,0.0004988122219324,0.0108135470048279,recession_prob,0.99038036920619,0.6142940646902574,1.0
1974-08-31,0.984973595703776,0.0037140450694636,0.0004988122219324,0.0108135470048279,recession_prob,0.99038036920619,0.5718592026180535,1.0
1974-09-30,0.9959916626625396,2.009474502381815e-05,0.0034818664113362,0.0005063761811005,recession_prob,0.9962448507530898,0.4940887522318279,1.0
1974-10-31,0.9959916626625396,2.009474502381815e-05,0.0034818664113362,0.0005063761811005,recession_prob,0.9962448507530898,0.4103449211821705,1.0
1974-11-30,0.9959916626625396,2.009474502381815e-05,0.0034818664113362,0.0005063761811005,recession_prob,0.9962448507530898,0.2938924962031849,1.0
